cmip6-id, cmip6-label, cmip6-type
cmip6.atmosphere.grid.discretisation, Atmosphere > Grid > Discretisation, detail-set
cmip6.atmosphere.grid.discretisation.horizontal, Atmosphere > Grid > Discretisation > Horizontal, detail-set
, , 
cmip6.atmosphere.key_properties.top_insolation_solar_constant, Atmosphere > Key Properties > Top Insolation Solar Constant, detail-set
cmip6.atmosphere.key_properties.top_insolation_orbital_parameters, Atmosphere > Key Properties > Top Insolation Orbital Parameters, detail-set
cmip6.atmosphere.key_properties.orography, Atmosphere > Key Properties > Orography, detail-set
, , 
cmip6.atmosphere.cloud_simulator.isscp_attributes, Atmosphere > Cloud Simulator > Isscp Attributes, detail-set
cmip6.atmosphere.cloud_simulator.cosp_attributes, Atmosphere > Cloud Simulator > Cosp Attributes, detail-set
cmip6.atmosphere.cloud_simulator.inputs_radar, Atmosphere > Cloud Simulator > Inputs Radar, detail-set
cmip6.atmosphere.cloud_simulator.inputs_lidar, Atmosphere > Cloud Simulator > Inputs Lidar, detail-set
, , 
