cmip6-id, cmip6-label, cmip6-type
cmip6.seaice, Seaice, realm
, , 
cmip6.seaice.grid, Seaice > Grid, grid
, , 
cmip6.seaice.key_properties, Seaice > Key Properties, key-properties
, , 
cmip6.seaice.dynamics, Seaice > Dynamics, process
, , 
cmip6.seaice.thermodynamics, Seaice > Thermodynamics, process
cmip6.seaice.thermodynamics.energy, Seaice > Thermodynamics > Energy, sub-process
cmip6.seaice.thermodynamics.mass, Seaice > Thermodynamics > Mass, sub-process
cmip6.seaice.thermodynamics.salt, Seaice > Thermodynamics > Salt, sub-process
cmip6.seaice.thermodynamics.ice_thickness_distribution, Seaice > Thermodynamics > Ice Thickness Distribution, sub-process
cmip6.seaice.thermodynamics.melt_ponds, Seaice > Thermodynamics > Melt Ponds, sub-process
cmip6.seaice.thermodynamics.snow_processes, Seaice > Thermodynamics > Snow Processes, sub-process
, , 
cmip6.seaice.radiative_processes, Seaice > Radiative Processes, process
